Datum;Zeit;Time;Lu_Gecko - microwave(02Alex) Wirkenergie(kWh)
20.03.2024;08:24:38;2024-03-20T08:24:38+01:00;5.66
20.03.2024;08:19:38;2024-03-20T08:19:38+01:00;5.66
20.03.2024;08:14:38;2024-03-20T08:14:38+01:00;5.66
20.03.2024;08:09:38;2024-03-20T08:09:38+01:00;5.66
20.03.2024;08:04:38;2024-03-20T08:04:38+01:00;5.66
20.03.2024;07:59:38;2024-03-20T07:59:38+01:00;5.66
20.03.2024;07:54:38;2024-03-20T07:54:38+01:00;5.66
20.03.2024;07:49:38;2024-03-20T07:49:38+01:00;5.66
20.03.2024;07:44:38;2024-03-20T07:44:38+01:00;5.66
20.03.2024;07:39:38;2024-03-20T07:39:38+01:00;5.66
20.03.2024;07:34:38;2024-03-20T07:34:38+01:00;5.66
20.03.2024;07:29:38;2024-03-20T07:29:38+01:00;5.66
20.03.2024;07:24:38;2024-03-20T07:24:38+01:00;5.66
20.03.2024;07:19:38;2024-03-20T07:19:38+01:00;5.66
20.03.2024;07:14:38;2024-03-20T07:14:38+01:00;5.66
20.03.2024;07:09:38;2024-03-20T07:09:38+01:00;5.66
20.03.2024;07:04:38;2024-03-20T07:04:38+01:00;5.66
20.03.2024;06:59:38;2024-03-20T06:59:38+01:00;5.66
20.03.2024;06:54:38;2024-03-20T06:54:38+01:00;5.66
20.03.2024;06:49:38;2024-03-20T06:49:38+01:00;5.66
20.03.2024;06:44:38;2024-03-20T06:44:38+01:00;5.66
20.03.2024;06:39:38;2024-03-20T06:39:38+01:00;5.66
20.03.2024;06:34:38;2024-03-20T06:34:38+01:00;5.66
20.03.2024;06:29:38;2024-03-20T06:29:38+01:00;5.66
20.03.2024;06:24:38;2024-03-20T06:24:38+01:00;5.66
20.03.2024;06:19:38;2024-03-20T06:19:38+01:00;5.66
20.03.2024;06:14:38;2024-03-20T06:14:38+01:00;5.66
20.03.2024;06:09:38;2024-03-20T06:09:38+01:00;5.66
20.03.2024;06:04:38;2024-03-20T06:04:38+01:00;5.66
20.03.2024;05:59:38;2024-03-20T05:59:38+01:00;5.66
20.03.2024;05:54:38;2024-03-20T05:54:38+01:00;5.66
20.03.2024;05:49:38;2024-03-20T05:49:38+01:00;5.66
20.03.2024;05:44:38;2024-03-20T05:44:38+01:00;5.66
20.03.2024;05:39:38;2024-03-20T05:39:38+01:00;5.66
20.03.2024;05:34:38;2024-03-20T05:34:38+01:00;5.66
20.03.2024;05:29:37;2024-03-20T05:29:37+01:00;5.659
20.03.2024;05:24:38;2024-03-20T05:24:38+01:00;5.659
20.03.2024;05:19:37;2024-03-20T05:19:37+01:00;5.659
20.03.2024;05:14:37;2024-03-20T05:14:37+01:00;5.659
20.03.2024;05:09:37;2024-03-20T05:09:37+01:00;5.659
20.03.2024;05:04:37;2024-03-20T05:04:37+01:00;5.659
20.03.2024;04:59:37;2024-03-20T04:59:37+01:00;5.659
20.03.2024;04:54:37;2024-03-20T04:54:37+01:00;5.659
20.03.2024;04:49:37;2024-03-20T04:49:37+01:00;5.659
20.03.2024;04:44:37;2024-03-20T04:44:37+01:00;5.659
20.03.2024;04:39:37;2024-03-20T04:39:37+01:00;5.659
20.03.2024;04:34:37;2024-03-20T04:34:37+01:00;5.659
20.03.2024;04:29:37;2024-03-20T04:29:37+01:00;5.659
20.03.2024;04:24:37;2024-03-20T04:24:37+01:00;5.659
20.03.2024;04:19:37;2024-03-20T04:19:37+01:00;5.659
20.03.2024;04:14:37;2024-03-20T04:14:37+01:00;5.659
20.03.2024;04:09:37;2024-03-20T04:09:37+01:00;5.659
20.03.2024;04:04:37;2024-03-20T04:04:37+01:00;5.659
20.03.2024;03:59:37;2024-03-20T03:59:37+01:00;5.659
20.03.2024;03:54:37;2024-03-20T03:54:37+01:00;5.659
20.03.2024;03:49:37;2024-03-20T03:49:37+01:00;5.659
20.03.2024;03:44:37;2024-03-20T03:44:37+01:00;5.659
